"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J7,J6";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";2;"USB_C_Receptacle_USB2.0";;;
2;"D1";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D_Schottky";;;
3;"R3,R6,R4,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"5.1k";;;
4;"H2";"MountingHole_3.2mm_M3_Pad_Via";1;"H2";;;
5;"Q1";"TO-263-2";1;"IRLZ44N";;;
6;"J3";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"Conn_01x02";;;
7;"H1";"MountingHole_3.2mm_M3_Pad_Via";1;"H1";;;
8;"H4";"MountingHole_3.2mm_M3_Pad_Via";1;"H4";;;
9;"J5";"SMB_Jack_Vertical";1;"Conn_Coaxial";;;
10;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"200O";;;
11;"J1";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel Jack";;;
12;"J2";"POMONA_73099-0";1;"VCC";;;
13;"J4";"POMONA_73099-0";1;"GND";;;
14;"H3";"MountingHole_3.2mm_M3_Pad_Via";1;"H3";;;
15;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
